bk	ck	命中词
89A31C764F0BF911A1C2D5679781E652	424296111578DF58D9DD2FFD2052C5EF	反革命分子
89A31C764F0BF911A1C2D5679781E652	6086DC63D0662641C7AB2F95FEE59F4B	反革命分子
97C67BE363B93E011440BE4BB9F68686	DD2670F41ECEA119C1589919D133F95B	反共
C09FB5EA6B1870F6C1E12EACFAD392E0	EFD6AB09493438801B2E60C75BE0B63C	反共
ABC69D9453C309CD1A77574E8E0F9BD5	8C5408D646155B3E1EFED5EDE5D856E7	反政府事件
48DB114A6102F391B09D50B3C0A34F92	62698AC6D07894DF6F5A9F326DD83032	天安门广场
7D1EF4D905F5BF427A74204D39D7A877	41E2B00B32CFD96DB6E43A10BAE3308D	反共
5E16EE82CA59E7781C73554E137EAD33	89A1C89D08D7A24C45EC938D65964BB3	学生造反
1373C9209070F3D27324673FE1868D3F	4CBD6D2DAECCE4BFA6E2B6FC640D7965	反革命分子
1373C9209070F3D27324673FE1868D3F	E6C7BAB9D99CA05955548A247AFBDE23	反革命分子
BD2097FA3340227AC1FE835CA4553938	1253933F464F8F4D20501B1115C3FDD6	反共
BD2097FA3340227AC1FE835CA4553938	27067781CB0F173B96DA787DD10AB25D	反共
BD2097FA3340227AC1FE835CA4553938	77630F26383BF4D1D8796D9F8A870A29	反共
BD2097FA3340227AC1FE835CA4553938	96942279B503F675BF6D4CE9EC32A399	反共
6CFBA53CEE194579B0EFAC2278507802	C67416A12885F638FA1C46D32F4C777C	学生造反
1CD09E917BDA2865098CB366E510AF94	E9B952708E8CBC35CAF08C7707188C61	反共
00E6B8B47F491E649B9294351BCADA86	D8D568F1A3DD6F927E346B46A0013442	学生造反
51F8603D0B81AF139F5C57B0C636A782	3C9E20AA23FE26199BA6E006278E4442	反共
412F7CE4EE7502FE4B8A8D52AFD26448	689ED1A0431F2EC1E333A42C8F40E886	反革命分子
FB4C4CA76F733C633F4C3C4223749E13	1749A6DBEF060BF037703C05057BE243	反共
FB4C4CA76F733C633F4C3C4223749E13	CC314FA772B929C9834E42118B247E8A	反共
0FEDF4E4E6BA69AD692A56B187EB9BE2	A14814DFCA9C165DF756728188290E8C	6月4
816687E1266EEF099CD0D4C3CEB9D368	312103319034ECC8DF30ADBEA4FFE43A	反共
816687E1266EEF099CD0D4C3CEB9D368	358BA0962000CDE92BAC0EE20A7B37BA	反共
1BE35831587C2A6778D4C6E4EFAA4DDA	58DCFC2E38A524D7CAD41C286CD07408	反共
7D3E7602B189B4BC13EA035264AB4BD1	EEDE66DCB002C27EB8542FBD6252B201	反共
